,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,33,33,33,33,33,32,32,32,32,32,32,32
Reserves,142,196,266,370,419,401,498,605,824,729,928,"1,185"
Borrowings +,19,13,1,0,0,0,1,4,2,4,3,39
Other Liabilities +,302,333,278,242,303,311,295,307,493,593,707,764
Total Liabilities,496,575,578,646,755,744,826,948,"1,352","1,357","1,670","2,019"
Fixed Assets +,111,155,132,232,226,254,246,248,247,269,283,323
CWIP,19,6,33,10,39,5,7,1,3,5,1,19
Investments,0,23,20,17,20,19,152,296,478,379,458,348
Other Assets +,365,391,393,386,472,466,420,403,624,703,928,"1,329"
Total Assets,496,575,578,646,755,744,826,948,"1,352","1,357","1,670","2,019"
