,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,100,100,100,100,300,300,600,600,600,600,600,600
Reserves,"2,927","3,171","3,934","4,738","4,881","5,798","6,106","7,027","7,832","17,267","19,183","21,044"
Borrowings +,864,"1,117","2,478","2,302","2,264","2,422","2,715","4,481","5,147","18,019","16,277","18,362"
Other Liabilities +,"1,860","1,988","1,947","2,254","2,545","3,672","4,993","6,382","6,763","15,856","19,693","18,791"
Total Liabilities,"5,751","6,375","8,458","9,394","9,990","12,192","14,414","18,490","20,342","51,742","55,753","58,797"
Fixed Assets +,"1,525","1,630","1,748","3,626","3,700","4,471","5,971","6,364","6,569","29,468","30,644","36,370"
CWIP,"1,206","1,677","2,240",839,"1,303","1,899","2,196","2,800","4,110","7,317","7,993","4,102"
Investments,765,230,902,"1,253",675,"1,012",966,"1,952","1,588","2,069","1,000","1,127"
Other Assets +,"2,255","2,839","3,569","3,676","4,312","4,811","5,281","7,374","8,074","12,888","16,117","17,199"
Total Assets,"5,751","6,375","8,458","9,394","9,990","12,192","14,414","18,490","20,342","51,742","55,753","58,797"
