,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,53,53,53,53,54,54,54,69,69,69,69,69
Reserves,"2,931","3,249","1,912","2,281","1,766","2,005","2,093","3,274","3,866","3,450","3,797","5,206"
Borrowings +,767,543,0,0,0,0,3,3,522,523,523,"1,026"
Other Liabilities +,"25,366","31,658","36,181","44,405","54,022","65,097","72,377","94,710","113,291","127,783","158,383","183,698"
Total Liabilities,"29,117","35,503","38,147","46,739","55,842","67,156","74,526","98,057","117,747","131,824","162,771","189,999"
Fixed Assets +,"1,592","1,200",349,740,556,556,641,639,616,614,612,610
CWIP,55,39,37,3,0,0,0,0,0,0,0,0
Investments,"25,134","32,015","36,102","44,059","52,683","63,245","68,566","91,766","109,794","123,355","153,010","9,135"
Other Assets +,"2,336","2,249","1,660","1,938","2,602","3,356","5,320","5,652","7,337","7,854","9,148","180,253"
Total Assets,"29,117","35,503","38,147","46,739","55,842","67,156","74,526","98,057","117,747","131,824","162,771","189,999"
