,Mar 2023,Mar 2024,Mar 2025
Debtor Days,113,3,3
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,113,3,3
Working Capital Days,"3,644",21,-44
ROCE %,,2%,1%
