,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,366,92,91,83
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,366,92,91,83
Working Capital Days,115,25,25,50
ROCE %,,5%,5%,9%
