,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,7,27,2,1,2,13,14,19,135,0,0,0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,7,27,2,1,2,13,14,19,135,0,0,0
Working Capital Days,-331,-58,-285,-28,288,-110,591,53,-371,"3,945",84,"1,186"
ROCE %,11%,11%,10%,9%,9%,2%,-5%,-10%,-5%,0%,-24%,8%
