,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2020,Mar 2024,Mar 2025
Cash from Operating Activity +,51,48,65,97,46,,807,373
Cash from Investing Activity +,-23,-46,-31,-42,140,,-450,-114
Cash from Financing Activity +,-27,2,-31,-36,-47,,-102,-129
Net Cash Flow,1,4,3,20,140,,255,131
