,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,48,48,48,48,48,48,48,48,48,48,48,48
Reserves,"1,113","1,277","1,771","2,169","2,630","3,123","3,235","3,779","4,352","5,457","6,736","8,456"
Borrowings +,728,"1,119","1,091","1,311","6,928","9,298","11,591","12,179","15,827","22,376","26,006","14,676"
Other Liabilities +,"1,743","2,126","2,236","2,601","3,586","4,228","4,399","5,859","6,692","7,144","9,235","24,758"
Total Liabilities,"3,632","4,570","5,146","6,128","13,190","16,696","19,272","21,865","26,919","35,025","42,024","47,937"
Fixed Assets +,"1,517","1,637","2,038","2,362","3,094","3,367","3,811","4,221","5,975","5,748","5,891","8,446"
CWIP,48,93,47,64,313,745,"1,006","1,041",552,743,"1,033",664
Investments,439,539,943,"1,155",421,440,371,468,605,967,"1,123","1,247"
Other Assets +,"1,628","2,301","2,118","2,547","9,362","12,145","14,085","16,135","19,788","27,566","33,977","37,580"
Total Assets,"3,632","4,570","5,146","6,128","13,190","16,696","19,272","21,865","26,919","35,025","42,024","47,937"
