,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,9.18%,9.17%,8.29%,4.85%,3.76%,4.25%,3.72%,3.64%,3.78%
DIIs +,2.54%,2.05%,2.22%,4.42%,7.64%,6.54%,7.93%,8.44%,8.08%
Public +,13.28%,13.78%,14.49%,15.73%,13.60%,14.21%,13.35%,12.92%,13.13%
No. of Shareholders,"16,290","18,145","22,564","30,112","28,823","37,232","29,884","29,198","34,425"
