,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,,-404,-748,"-7,700","1,527","15,117","10,173","8,830","8,223","13,643"
Cash from Investing Activity +,,,"3,012",597,"5,294","-1,339","-1,180","-12,785","-5,728","-6,410","-10,771"
Cash from Financing Activity +,,,-164,"-2,540","2,326",64,"-7,070","-1,464","-1,731","-1,999","-2,579"
Net Cash Flow,,,"2,443","-2,691",-80,252,"6,867","-4,076","1,370",-186,294
