,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,94.86%,92.63%,90.00%,90.30%,90.09%,90.00%,90.17%,90.00%,90.00%
FIIs +,0.05%,0.04%,0.00%,0.02%,0.02%,0.04%,0.08%,0.11%,0.00%
DIIs +,0.22%,0.02%,0.04%,0.01%,0.00%,0.01%,0.01%,0.02%,0.04%
Government +,1.53%,4.71%,7.75%,7.51%,7.74%,7.83%,7.70%,7.90%,7.90%
Public +,3.34%,2.60%,2.22%,2.15%,2.14%,2.12%,2.03%,1.97%,2.04%
No. of Shareholders,"34,165","49,115","53,043","60,665","75,986","77,915","75,886","1,00,321","2,05,507"
