,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,161,161,161,161,161,161,161,161,161,161,161,162
Reserves,"9,890","10,641","11,356","12,383","14,068","14,851","15,602","18,165","20,680","23,246","26,545","31,032"
Borrowings +,"1,248","1,703","5,202","4,113","4,098","4,316","2,816","2,014","1,056",803,559,438
Other Liabilities +,"2,102","3,166","4,331","4,213","4,346","4,433","4,843","4,514","4,960","5,089","5,267","5,755"
Total Liabilities,"13,400","15,670","21,049","20,869","22,673","23,762","23,423","24,855","26,857","29,300","32,533","37,387"
Fixed Assets +,"6,496","6,830","9,368","9,492","9,950","9,608","9,683","9,516","9,683","9,160","9,607","10,360"
CWIP,442,581,"2,061","1,683",981,676,825,969,766,"1,093","1,153","1,213"
Investments,709,640,759,973,"1,259","2,554","1,471","2,710","2,551","3,662","5,449","7,933"
Other Assets +,"5,753","7,620","8,862","8,721","10,483","10,923","11,444","11,661","13,857","15,384","16,323","17,882"
Total Assets,"13,400","15,670","21,049","20,869","22,673","23,762","23,423","24,855","26,857","29,300","32,533","37,387"
