,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,73.97%,74.01%,74.01%,74.05%,74.06%,74.06%,74.06%,74.29%,74.29%
FIIs +,1.95%,3.61%,3.63%,5.13%,3.50%,4.58%,4.79%,4.93%,3.83%
DIIs +,7.03%,6.58%,6.56%,6.06%,7.29%,7.85%,7.90%,7.30%,9.21%
Public +,17.05%,15.80%,15.80%,14.76%,15.15%,13.51%,13.26%,13.46%,12.68%
No. of Shareholders,"18,628","17,741","20,021","39,763","59,407","72,539","84,404","1,06,894","87,933"
