,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%
FIIs +,5.42%,5.66%,6.09%,8.33%,12.21%,12.04%,10.36%
DIIs +,5.90%,5.63%,5.08%,5.31%,4.70%,4.82%,5.16%
Public +,19.04%,19.07%,19.19%,16.72%,13.46%,13.50%,14.86%
No. of Shareholders,"22,355","13,279","13,940","14,540","17,562","19,098","21,558"
