,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,61,61,61,61,62,62,62,61,61,61,62,67
Reserves,"1,263","1,296","1,511","1,625","1,712","2,010","2,334","2,406","2,672","3,021","3,565","6,312"
Borrowings +,9,9,10,25,22,14,35,83,490,562,726,"1,070"
Other Liabilities +,468,611,702,695,828,748,968,935,"1,655","1,980","1,708","5,041"
Total Liabilities,"1,801","1,977","2,285","2,407","2,624","2,834","3,400","3,484","4,878","5,625","6,061","12,491"
Fixed Assets +,453,558,903,848,879,819,"1,079","1,021","2,067","2,312","2,353","6,096"
CWIP,129,120,17,0,1,1,0,0,17,5,23,2
Investments,55,55,75,316,365,365,14,12,0,0,0,146
Other Assets +,"1,164","1,243","1,291","1,244","1,379","1,649","2,307","2,451","2,794","3,309","3,685","6,246"
Total Assets,"1,801","1,977","2,285","2,407","2,624","2,834","3,400","3,484","4,878","5,625","6,061","12,491"
