,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,66.30%,72.55%,70.62%,78.52%,69.33%,62.93%,62.93%,62.93%,62.93%
FIIs +,5.28%,5.12%,4.26%,3.31%,4.59%,8.48%,8.95%,10.57%,10.54%
DIIs +,21.23%,16.86%,17.65%,11.02%,12.60%,13.61%,16.20%,14.39%,11.85%
Public +,7.19%,5.47%,7.47%,7.15%,13.48%,14.97%,11.92%,12.10%,14.67%
No. of Shareholders,"1,64,670","1,53,150","1,89,044","2,25,291","5,63,458","6,39,136","6,29,444","7,59,083","17,99,432"
