,Dec 2024,Mar 2025
Promoters +,82.39%,82.39%
FIIs +,3.77%,3.39%
DIIs +,7.25%,7.47%
Public +,6.59%,6.75%
No. of Shareholders,"2,97,400","3,20,185"
