,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,6,6,11,12,14,14
Reserves,-99,-213,-364,35,613,713
Borrowings +,981,"1,186","1,170","1,724","1,933",849
Other Liabilities +,"2,043","2,784","3,632","4,250","5,914","11,291"
Total Liabilities,"2,931","3,763","4,449","6,022","8,474","12,866"
Fixed Assets +,69,104,169,136,104,146
CWIP,2,0,0,0,15,0
Investments,109,57,5,0,0,0
Other Assets +,"2,751","3,603","4,276","5,885","8,356","12,720"
Total Assets,"2,931","3,763","4,449","6,022","8,474","12,866"
