,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,67,60,78,-19,104
Cash from Investing Activity +,-60,-49,-122,-464,-628
Cash from Financing Activity +,22,-17,121,489,842
Net Cash Flow,30,-6,76,5,318
