,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024
Cash from Operating Activity +,3,608,574,513,573,100,"1,273",720,"1,422",978,"1,400","1,670"
Cash from Investing Activity +,264,130,646,237,"1,321",-174,"-1,135",871,"-2,389",-34,-759,-502
Cash from Financing Activity +,-196,-220,-245,"-1,614",-285,-305,-312,-386,-502,-392,-450,-523
Net Cash Flow,70,517,975,-864,"1,610",-379,-174,"1,205","-1,469",552,191,644
