,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"26,233","28,059","27,942","28,280","29,854","20,070","18,129","48,205","55,017","65,325","78,898","98,332"
Cash from Investing Activity +,"-25,181","-22,301","-14,091","-30,680","-27,940","-28,286","-29,598","-27,286","-41,478","-39,232","-51,089","-60,270"
Cash from Financing Activity +,"2,774","-9,672","-11,946",-351,"1,920","9,464","19,144","-24,910","-15,203","-24,470","-27,778","-36,533"
Net Cash Flow,"3,826","-3,914","1,905","-2,752","3,835","1,248","7,675","-3,991","-1,664","1,623",31,"1,529"
