,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.97%,75.10%,74.92%
FIIs +,3.45%,7.66%,7.33%
DIIs +,10.57%,13.51%,12.21%
Public +,10.03%,3.72%,5.57%
No. of Shareholders,"83,142","85,927","1,44,000"
