,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,372,496,564,562,576,606,652,606,634,688,777,772,797
Expenses +,259,358,412,411,413,449,475,459,475,509,559,585,599
Operating Profit,114,137,152,151,163,157,177,147,159,179,218,187,198
OPM %,31%,28%,27%,27%,28%,26%,27%,24%,25%,26%,28%,24%,25%
Other Income +,16,5,24,6,5,3,3,3,4,5,5,18,15
Interest,4,6,8,12,5,9,9,12,16,18,20,26,27
Depreciation,19,29,31,33,35,32,33,35,46,39,41,45,53
Profit before tax,107,107,137,113,127,119,139,102,100,127,162,135,134
Tax %,22%,26%,23%,27%,22%,27%,27%,25%,28%,25%,26%,31%,21%
Net Profit +,83,79,106,82,99,87,101,77,72,95,121,92,106
EPS in Rs,2.02,1.75,2.43,1.90,2.33,2.02,2.30,1.80,1.64,2.16,2.68,2.22,2.54
Raw PDF,,,,,,,,,,,,,
