,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,15,15,15,15,15,133,133,133,136,136,136,136
Reserves,260,318,381,449,562,517,675,695,"1,129","1,412","1,728","1,573"
Borrowings +,7,8,3,3,6,424,549,567,692,943,"1,098","1,227"
Other Liabilities +,118,114,118,170,189,247,261,265,348,416,391,398
Total Liabilities,399,455,517,636,772,"1,322","1,617","1,659","2,305","2,906","3,353","3,334"
Fixed Assets +,68,122,135,172,185,593,708,724,848,"1,302","1,482","1,603"
CWIP,2,0,1,4,6,4,13,5,6,18,9,8
Investments,78,37,76,83,185,210,348,400,401,478,750,550
Other Assets +,251,296,305,377,397,515,548,532,"1,050","1,109","1,111","1,173"
Total Assets,399,455,517,636,772,"1,322","1,617","1,659","2,305","2,906","3,353","3,334"
