,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"9,726","8,119","8,751","9,062","9,765","10,184","9,797","9,127","9,454","9,430","9,777","9,907","10,198"
Expenses +,"8,314","7,229","8,066","8,194","8,621","8,992","8,566","7,881","8,419","8,219","8,590","8,714","9,165"
Operating Profit,"1,412",889,685,868,"1,144","1,192","1,231","1,246","1,035","1,210","1,186","1,193","1,033"
OPM %,15%,11%,8%,10%,12%,12%,13%,14%,11%,13%,12%,12%,10%
Other Income +,47,50,35,74,78,76,140,52,53,51,47,99,87
Interest,82,79,87,76,83,100,156,146,153,143,159,161,150
Depreciation,184,179,182,181,181,188,222,236,233,232,241,242,241
Profit before tax,"1,193",682,450,685,957,981,993,917,702,886,834,890,729
Tax %,25%,26%,23%,25%,25%,25%,23%,25%,29%,27%,27%,26%,19%
Net Profit +,895,508,347,513,716,738,764,691,501,646,609,654,590
EPS in Rs,16.70,9.48,6.72,9.47,9.30,9.06,9.40,8.41,6.08,7.87,7.42,7.95,7.17
Raw PDF,,,,,,,,,,,,,
