,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"-15,664","-16,617","8,928","6,611","6,254","-1,865","-4,662","-8,057"
Cash from Investing Activity +,-50,-54,-63,21,"-1,475",176,"-1,186",757
Cash from Financing Activity +,"18,464","17,888","-4,386","-8,178","-6,732",301,"4,179","7,404"
Net Cash Flow,"2,751","1,217","4,480","-1,546","-1,953","-1,388","-1,669",104
