,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,36,70,81,76,79,62,63,48
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,36,70,81,76,79,62,63,48
Working Capital Days,-35,-9,15,16,-10,42,40,36
ROCE %,,108%,43%,39%,28%,20%,16%,17%
