,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,36,205,-278,92,501
Cash from Investing Activity +,,-26,54,8,-488,46
Cash from Financing Activity +,,97,-269,673,368,141
Net Cash Flow,,107,-10,403,-28,687
