,Dec 2024,Mar 2025
Promoters +,50.17%,50.17%
FIIs +,18.00%,18.21%
DIIs +,11.12%,12.07%
Public +,20.71%,19.55%
No. of Shareholders,"2,82,920","2,68,890"
