,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,446,630,677,701,581,824,"1,042","1,168"
Cash from Investing Activity +,-349,-646,-424,-629,-611,-653,-494,-745
Cash from Financing Activity +,-79,-72,-226,58,-31,-342,-552,-142
Net Cash Flow,18,-88,28,130,-62,-172,-4,281
