,Mar 2002,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,"4,949","5,539","-13,655","-1,119","2,840"
Cash from Investing Activity +,,-46,-49,-560,-359,-579
Cash from Financing Activity +,,"1,813",479,"-1,916",-528,144
Net Cash Flow,,"6,716","5,969","-16,130","-2,006","2,405"
