,Mar 2023,Mar 2024,Mar 2025
Debtor Days,0,8,2
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,0,8,2
Working Capital Days,-956,29,-25
ROCE %,,51%,31%
