Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"328,013","231,743","240,597","289,188","370,744","336,097","245,050","422,413","537,909","531,908","515,425","504,026"
Expenses+,"296,377","192,359","197,272","237,430","311,853","283,073","211,542","370,007","471,050","457,488","457,292","449,571"
Operating Profit,"31,636","39,384","43,325","51,758","58,891","53,024","33,508","52,406","66,859","74,420","58,133","54,455"
OPM %,10%,17%,18%,18%,16%,16%,14%,12%,12%,14%,11%,11%
Other Income+,"8,687","7,784","8,640","8,203","8,785","9,125","19,114","13,779","12,247","11,973","16,030","23,630"
Interest,"2,367","2,562","2,723","4,656","9,751","12,105","16,211","9,123","12,633","13,430","10,054","6,904"
Depreciation,"8,488","8,590","8,465","9,580","10,558","9,728","9,199","10,276","11,167","17,690","17,981","17,105"
Profit before tax,"29,468","36,016","40,777","45,725","47,367","40,316","27,212","46,786","55,306","55,273","46,128","54,076"
Tax %,23%,24%,23%,26%,26%,23%,-17%,16%,20%,24%,24%,19%
Net Profit+,"22,719","27,384","31,425","33,612","35,163","30,903","31,944","39,084","44,190","42,042","35,262","43,851"
EPS in Rs,16.46,19.81,22.65,24.87,26.00,22.85,25.19,28.89,32.66,31.07,26.06,32.40
Dividend Payout %,14%,12%,11%,11%,12%,13%,14%,14%,14%,16%,21%,19%
