Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,368,361,738,752,735,"1,280","2,272","2,985","4,248","5,175","5,057"
Expenses+,303,383,502,559,555,830,"1,359","1,700","2,550","3,157","3,144"
Operating Profit,65,-23,237,193,180,450,913,"1,285","1,699","2,019","1,913"
OPM %,18%,-6%,32%,26%,24%,35%,40%,43%,40%,39%,38%
Other Income+,13,111,13,11,7,8,2,16,6,8,14
Interest,29,50,89,67,50,43,74,91,137,293,437
Depreciation,10,10,12,18,20,17,18,29,49,100,117
Profit before tax,40,28,149,119,117,398,823,"1,181","1,519","1,634","1,373"
Tax %,36%,26%,32%,35%,26%,27%,25%,25%,25%,26%,26%
Net Profit+,25,21,102,77,87,290,615,882,"1,133","1,216","1,023"
EPS in Rs,1.77,1.44,1.41,1.07,1.20,3.55,7.42,10.57,13.49,13.47,11.23
Dividend Payout %,32%,47%,96%,25%,22%,36%,37%,38%,26%,36%,220%
