Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales+,"34,102","37,930","33,733","38,945","35,541","35,509","35,764","37,634","17,063","40,455","37,824","18,747","23,369"
Expenses+,"27,035","28,471","27,313","27,466","27,010","26,741","25,819","27,806","12,050","28,989","27,906","13,832","16,503"
Operating Profit,"7,067","9,459","6,420","11,479","8,531","8,768","9,945","9,828","5,013","11,466","9,918","4,915","6,866"
OPM %,21%,25%,19%,29%,24%,25%,28%,26%,29%,28%,26%,26%,29%
Other Income+,"1,619",-631,"2,326","1,863",779,385,934,"3,168","3,202",762,985,"1,248","4,428"
Interest,"1,572","1,805","2,110","2,523","2,417","2,415","2,222","2,667","1,073","2,583","2,026","1,033",989
Depreciation,"2,720","2,765","2,550","2,642","2,788","2,743","2,731","2,696","1,238","2,988","2,824","1,303","1,424"
Profit before tax,"4,394","4,258","4,086","8,177","4,105","3,995","5,926","7,633","5,904","6,657","6,053","3,827","8,881"
Tax %,30%,26%,19%,111%,30%,43%,14%,27%,17%,25%,26%,9%,12%
Net Profit+,"3,091","3,132","3,308",-915,"2,868","2,275","5,095","5,603","4,876","4,961","4,457","3,479","7,807"
EPS in Rs,6.63,5.06,7.10,-4.80,5.42,3.68,9.70,11.13,9.07,8.91,8.14,4.60,14.60
Raw PDF,,,,,,,,,,,,,
