,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"2,940","2,943","2,948","2,959","5,922","5,926","6,339","6,445","6,765","6,766","6,766","13,532"
Reserves,"195,747","215,556","228,608","260,750","287,584","381,186","442,827","693,727","772,720","709,106","786,715","829,668"
Borrowings +,"138,761","168,251","194,714","217,475","239,843","307,714","355,133","278,962","319,158","451,664","458,991","369,575"
Other Liabilities +,"91,395","117,736","172,727","225,618","277,924","302,804","358,716","340,931","399,979","438,346","502,576","737,346"
Total Liabilities,"428,843","504,486","598,997","706,802","811,273","997,630","1,163,015","1,320,065","1,498,622","1,605,882","1,755,048","1,950,121"
Fixed Assets +,"141,417","156,458","184,910","198,526","403,885","398,374","532,658","541,258","627,798","724,805","779,985","1,092,041"
CWIP,"91,494","166,462","228,697","324,837","187,022","179,463","109,106","125,953","172,506","293,752","338,855","169,710"
Investments,"60,602","76,451","84,015","82,899","82,862","235,635","276,767","364,828","394,264","235,560","225,672","242,381"
Other Assets +,"135,330","105,115","101,375","100,540","137,504","184,158","244,484","288,026","304,054","351,765","410,536","445,989"
Total Assets,"428,843","504,486","598,997","706,802","811,273","997,630","1,163,015","1,320,065","1,498,622","1,605,882","1,755,048","1,950,121"
