,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,"4,459","5,687","6,230","6,739","9,868","7,388","9,703","5,943","6,883","10,721","15,597"
Cash from Investing Activity +,,"-3,514","-3,962","-5,177","-4,421","-10,182","-7,789","-8,952",-801,"-10,071","-13,614","-13,638"
Cash from Financing Activity +,,-168,-212,-236,-196,-337,38,678,-238,"1,985",-403,"1,607"
Net Cash Flow,,777,"1,513",817,"2,122",-651,-364,"1,429","4,904","-1,203","-3,296","3,566"
