,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,72.96%,72.96%,74.76%,74.76%,74.76%,74.76%,74.76%,74.76%,74.76%
FIIs +,1.98%,1.73%,1.43%,1.26%,1.43%,1.66%,2.97%,3.42%,3.68%
DIIs +,8.33%,9.00%,8.23%,8.59%,10.97%,10.50%,8.99%,8.36%,8.49%
Public +,16.73%,16.31%,15.58%,15.40%,12.85%,13.09%,13.27%,13.47%,13.08%
No. of Shareholders,"45,580","39,360","39,208","41,268","39,934","45,780","43,735","46,712","48,140"
