,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"1,155","1,160","1,163","1,165","1,286","1,289","1,295","1,383","1,390","1,397","1,405","1,425"
Reserves,"75,275","83,545","92,948","103,467","109,344","112,964","121,665","156,204","180,663","213,101","254,739","310,411"
Deposits,"441,459","478,042","482,401","530,204","585,796","681,317","800,784","959,940","1,091,366","1,210,832","1,443,580","1,641,637"
Borrowing,"101,596","119,165","189,054","170,670","229,402","210,324","213,852","143,900","161,603","189,062","207,428","218,883"
Other Liabilities +,"128,278","144,167","153,190","180,219","198,453","232,899","239,696","312,385","317,616","344,099","456,911","469,884"
Total Liabilities,"747,762","826,079","918,756","985,725","1,124,281","1,238,794","1,377,292","1,573,812","1,752,637","1,958,490","2,364,063","2,642,241"
Fixed Assets +,"5,507","5,871","8,713","9,338","9,465","9,660","10,409","10,809","10,707","11,070","15,714","15,812"
CWIP,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,"267,609","274,311","286,044","304,373","372,208","398,201","443,473","536,579","567,098","639,552","827,163","886,377"
Other Assets +,"474,646","545,897","623,999","672,013","742,608","830,933","923,411","1,026,424","1,174,833","1,307,868","1,521,186","1,740,052"
Total Assets,"747,762","826,079","918,756","985,725","1,124,281","1,238,794","1,377,292","1,573,812","1,752,637","1,958,490","2,364,063","2,642,241"
