,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%
FIIs +,0.20%,0.20%,0.20%,0.19%,0.19%,0.19%,0.18%,0.18%,0.18%,0.17%,0.17%,0.16%
DIIs +,7.95%,7.85%,8.38%,8.61%,8.77%,8.83%,8.73%,8.91%,8.81%,9.00%,9.01%,8.91%
Public +,16.86%,16.95%,16.42%,16.20%,16.05%,16.01%,16.09%,15.92%,16.01%,15.86%,15.85%,15.94%
No. of Shareholders,"82,113","83,526","74,915","72,086","69,582","68,885","72,252","69,382","71,588","69,449","67,892","69,934"
