,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,58.35%,58.35%,58.37%,60.80%,60.80%,60.77%,60.78%,60.69%,60.64%
FIIs +,8.22%,7.82%,8.30%,8.62%,9.07%,8.50%,7.03%,8.42%,7.53%
DIIs +,6.39%,7.03%,6.50%,6.24%,6.09%,6.97%,7.10%,7.33%,8.99%
Public +,27.04%,26.80%,26.81%,24.15%,23.87%,23.65%,24.95%,23.38%,22.71%
Others +,0.00%,0.00%,0.03%,0.19%,0.18%,0.11%,0.13%,0.18%,0.10%
No. of Shareholders,"67,348","94,270","99,512","1,71,188","1,94,174","2,43,853","7,36,596","5,67,041","7,08,845"
