,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%
FIIs +,2.89%,3.01%,4.20%,3.69%,1.89%,2.20%,2.80%,3.32%,2.18%
DIIs +,10.53%,11.91%,11.98%,12.66%,14.63%,15.06%,14.89%,15.32%,17.10%
Public +,22.66%,21.16%,19.90%,19.73%,19.55%,18.82%,18.38%,17.42%,16.79%
No. of Shareholders,"85,570","72,919","76,717","82,750","1,45,980","1,25,287","1,17,194","1,09,214","1,08,261"
