,Dec 2023,Dec 2024
Equity Capital,23,23
Reserves,992,838
Borrowings +,19,19
Other Liabilities +,681,732
Total Liabilities,"1,715","1,612"
Fixed Assets +,315,312
CWIP,16,18
Investments,0,0
Other Assets +,"1,384","1,281"
Total Assets,"1,715","1,612"
