,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,384,402,380,524,98,270,610,571
Cash from Investing Activity +,-415,-262,-72,338,-459,-101,62,42
Cash from Financing Activity +,-46,-62,-87,-75,-89,-101,-117,-307
Net Cash Flow,-77,79,221,786,-450,68,555,306
