,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,69.50%,69.57%,69.46%,69.68%,69.66%,69.53%,69.39%,69.16%,69.04%,68.86%,68.71%,68.45%
FIIs +,9.80%,9.29%,7.35%,6.47%,6.41%,6.29%,6.48%,6.73%,6.46%,6.34%,5.88%,6.01%
DIIs +,4.02%,5.01%,5.95%,6.28%,6.11%,6.29%,6.76%,6.94%,6.06%,6.41%,6.39%,5.71%
Public +,16.67%,16.12%,17.22%,17.58%,17.84%,17.90%,17.36%,17.16%,18.42%,18.39%,19.01%,19.83%
No. of Shareholders,"91,816","66,605","70,230","69,663","68,944","63,583","61,732","67,231","1,35,984","1,63,551","2,26,754","2,87,331"
