,Mar 2023,Mar 2024,Mar 2025
Equity Capital,107,107,107
Reserves,"6,001","6,968","8,023"
Borrowings +,0,0,0
Other Liabilities +,428,479,621
Total Liabilities,"6,536","7,554","8,751"
Fixed Assets +,150,153,199
CWIP,2,1,0
Investments,"6,076","7,156","8,255"
Other Assets +,307,244,297
Total Assets,"6,536","7,554","8,751"
