,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,2.87%,2.88%,3.01%,2.86%,2.94%,3.15%,2.91%,2.76%,2.72%,2.68%,2.50%,2.60%
DIIs +,12.47%,12.45%,12.48%,12.40%,12.44%,12.23%,11.91%,12.20%,12.40%,12.54%,12.51%,12.35%
Public +,9.66%,9.66%,9.49%,9.73%,9.62%,9.63%,10.16%,10.03%,9.87%,9.78%,9.98%,10.05%
No. of Shareholders,"29,107","27,554","27,659","34,147","31,943","30,944","35,496","33,186","30,020","31,097","34,293","34,809"
