,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,18,17,20,23,25,24,18,24
Inventory Days,99,96,117,124,114,120,99,93
Days Payable,140,134,143,161,129,131,114,119
Cash Conversion Cycle,-24,-20,-7,-14,10,13,3,-3
Working Capital Days,-8,-7,6,0,14,18,4,-2
ROCE %,,32%,29%,18%,10%,8%,9%,13%
