,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,51.00%,51.00%
FIIs +,6.50%,4.57%,4.77%,3.78%,3.38%,2.84%,3.20%,6.47%,10.72%
DIIs +,8.42%,9.90%,9.39%,10.60%,11.01%,11.91%,12.35%,33.68%,28.11%
Public +,10.07%,10.53%,10.84%,10.62%,10.61%,10.25%,9.43%,8.84%,10.17%
No. of Shareholders,"38,310","40,266","49,773","61,158","83,103","1,40,140","1,26,361","1,23,148","1,02,109"
