,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,707","2,081","1,612","1,302","1,673","2,039","1,522","1,536","1,734","2,497","1,713","1,705","2,005"
Expenses +,"1,559","1,949","1,523","1,258","1,567","1,915","1,448","1,473","1,590","2,286","1,626","1,636","1,822"
Operating Profit,148,132,89,44,106,123,73,63,144,211,87,69,183
OPM %,9%,6%,6%,3%,6%,6%,5%,4%,8%,8%,5%,4%,9%
Other Income +,13,32,22,41,32,35,34,36,41,51,49,51,47
Interest,5,3,3,4,6,7,6,9,9,10,11,9,14
Depreciation,44,47,42,45,52,52,49,47,62,56,52,51,54
Profit before tax,113,114,67,36,80,99,52,42,114,196,73,59,162
Tax %,25%,26%,27%,26%,20%,22%,27%,29%,30%,26%,27%,25%,26%
Net Profit +,84,85,49,27,64,77,38,30,79,145,54,45,119
EPS in Rs,6.61,6.60,3.78,1.95,4.94,5.90,2.88,2.21,6.12,11.34,4.10,3.46,9.40
Raw PDF,,,,,,,,,,,,,
