,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,1.82%,1.62%,1.45%,0.30%,1.59%,2.18%,2.28%,3.48%,4.52%
DIIs +,10.26%,10.81%,11.08%,11.37%,10.85%,10.73%,10.31%,7.90%,7.79%
Public +,12.92%,12.57%,12.47%,13.33%,12.56%,12.09%,12.43%,13.62%,12.69%
No. of Shareholders,"1,00,371","94,175","94,338","1,08,388","1,19,952","1,10,141","1,20,415","1,18,994","1,21,885"
