,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%
FIIs +,14.45%,12.67%,12.03%,12.17%,11.54%,8.99%,6.71%,6.11%,5.58%
DIIs +,13.64%,15.62%,16.72%,16.52%,17.18%,18.65%,19.46%,22.88%,23.02%
Public +,11.52%,11.32%,10.85%,10.92%,10.89%,11.96%,13.43%,10.61%,11.01%
No. of Shareholders,"19,195","18,990","22,163","35,009","48,465","59,276","76,694","61,849","68,196"
