,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,281,338,139,234,473,409,490,578,811,484,582,"1,290"
Cash from Investing Activity +,189,180,499,301,-104,-153,-57,418,-406,808,9,-46
Cash from Financing Activity +,-494,-497,-638,-511,-307,-358,-428,-696,-524,"-1,543",-562,-769
Net Cash Flow,-24,21,-0,24,62,-102,6,300,-119,-251,29,475
