,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,38,38,47,47,47,46,46,46,46,46,46,46
Reserves,724,933,"1,116",963,"1,244","1,091","1,192","1,243","1,214","1,271","1,284","1,285"
Borrowings +,1,-0,3,3,3,3,64,64,70,70,60,62
Other Liabilities +,395,361,878,872,939,959,"1,024","1,178","1,262","1,354","1,514","1,511"
Total Liabilities,"1,159","1,332","2,044","1,884","2,233","2,098","2,326","2,530","2,592","2,740","2,904","2,903"
Fixed Assets +,142,133,523,519,539,530,574,543,520,511,526,481
CWIP,18,2,9,23,27,17,16,16,42,73,119,67
Investments,684,915,600,336,573,377,84,0,-0,-0,-0,-0
Other Assets +,316,283,912,"1,007","1,094","1,174","1,652","1,970","2,030","2,157","2,259","2,355"
Total Assets,"1,159","1,332","2,044","1,884","2,233","2,098","2,326","2,530","2,592","2,740","2,904","2,903"
