,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,89,89,89,89,89,89,89,89,89,89,89,89
Reserves,"2,434","2,995","3,418","4,144","5,001","5,981","6,580","7,408","9,214","11,762","9,304","11,535"
Borrowings +,807,100,113,"1,882","1,691","2,393","3,562","5,638","7,275","9,367","15,528","12,967"
Other Liabilities +,"2,781","2,684","2,723","2,293","2,740","3,247","3,313","3,309","4,610","5,802","6,626","16,056"
Total Liabilities,"6,111","5,868","6,342","8,408","9,521","11,710","13,544","16,444","21,188","27,020","31,547","40,647"
Fixed Assets +,614,699,771,"1,189","1,474","1,567","2,633","2,523","2,544","2,998","3,709","4,074"
CWIP,33,55,107,152,43,32,18,32,85,144,97,93
Investments,3,3,30,431,36,108,158,"2,824",294,"2,515","2,345","1,988"
Other Assets +,"5,461","5,111","5,434","6,636","7,968","10,003","10,735","11,065","18,265","21,363","25,396","34,492"
Total Assets,"6,111","5,868","6,342","8,408","9,521","11,710","13,544","16,444","21,188","27,020","31,547","40,647"
