,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,5.58%,5.22%,4.27%,3.95%,2.04%,2.17%,1.52%,0.71%,4.33%
DIIs +,4.77%,5.68%,7.11%,7.50%,10.69%,10.34%,10.78%,12.82%,9.89%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public +,14.66%,14.11%,13.62%,13.55%,12.27%,12.50%,12.71%,11.48%,10.78%
No. of Shareholders,"25,643","24,917","26,531","37,764","47,662","51,031","48,189","51,118","52,134"
