Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,434","8,575","11,881","15,009","19,916","24,675","23,787","30,352","41,833","49,533","57,790","66,968"
Expenses+,"5,983","7,918","10,917","13,672","18,274","22,553","22,044","27,849","38,172","45,432","53,246","61,713"
Operating Profit,450,657,964,"1,337","1,642","2,122","1,743","2,504","3,661","4,101","4,544","5,255"
OPM %,7%,8%,8%,9%,8%,9%,7%,8%,9%,8%,8%,8%
Other Income+,23,19,30,73,51,63,207,139,161,187,173,128
Interest,72,91,122,59,47,63,34,40,48,44,58,130
Depreciation,81,97,126,155,199,340,371,421,543,633,776,935
Profit before tax,321,488,747,"1,196","1,448","1,783","1,545","2,182","3,231","3,611","3,883","4,318"
Tax %,34%,35%,35%,34%,35%,24%,25%,26%,21%,25%,25%,25%
Net Profit+,211,318,483,785,936,"1,350","1,165","1,616","2,556","2,695","2,927","3,224"
EPS in Rs,3.75,5.66,7.73,12.57,15.00,20.84,17.99,24.95,39.43,41.41,44.98,49.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
