Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,820,803,"1,043","1,054","1,347","1,394","1,501","1,246","1,031","1,117","1,179","1,314","1,444"
Expenses+,437,485,599,654,812,922,816,736,685,826,743,757,819
Operating Profit,383,318,444,400,535,473,685,510,347,291,436,557,625
OPM %,47%,40%,43%,38%,40%,34%,46%,41%,34%,26%,37%,42%,43%
Other Income+,5,3,2,2,2,5,2,2,2,3,3,3,8
Interest,21,18,26,36,56,56,75,82,78,83,93,127,133
Depreciation,9,9,11,13,16,22,25,26,27,28,29,29,31
Profit before tax,359,294,408,353,463,400,587,405,243,183,317,404,469
Tax %,26%,26%,25%,26%,25%,26%,25%,26%,26%,27%,25%,26%,25%
Net Profit+,265,219,305,263,346,297,437,301,180,134,236,301,351
EPS in Rs,3.17,2.61,3.64,3.13,4.12,3.30,4.85,3.34,2.00,1.48,2.60,3.31,3.86
Raw PDF,,,,,,,,,,,,,
