Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"13,916","18,937","20,140","26,356","29,055","17,467","15,301","21,688","36,144","38,367","38,753","44,007"
Expenses+,"12,890","16,487","17,938","23,393","25,973","16,294","14,766","20,694","33,213","33,760","33,822","38,275"
Operating Profit,"1,027","2,451","2,203","2,964","3,082","1,174",535,995,"2,931","4,607","4,931","5,732"
OPM %,7%,13%,11%,11%,11%,7%,4%,5%,8%,12%,13%,13%
Other Income+,225,-888,-199,168,106,-32,107,587,201,153,354,-33
Interest,394,248,155,147,70,109,307,301,289,249,217,170
Depreciation,416,488,518,598,621,670,748,753,732,718,719,715
Profit before tax,442,827,"1,330","2,386","2,497",362,-412,528,"2,110","3,792","4,348","4,814"
Tax %,24%,53%,8%,28%,21%,34%,-24%,-3%,35%,31%,24%,26%
Net Profit+,335,390,"1,223","1,718","1,983",240,-314,542,"1,380","2,618","3,303","3,566"
EPS in Rs,0.59,0.68,2.15,2.93,3.38,0.41,-0.53,0.92,2.35,4.46,5.62,6.07
Dividend Payout %,38%,69%,36%,41%,46%,61%,-56%,54%,55%,56%,56%,58%
