,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"5,578","5,942","5,956","6,423","6,247","6,245","6,280","6,595","6,258","6,335","6,437","6,928","6,424"
Expenses +,"4,952","5,252","5,244","5,509","5,249","5,193","5,120","5,387","5,230","5,426","5,559","5,981","5,586"
Operating Profit,626,690,712,913,998,"1,051","1,160","1,208","1,028",909,878,947,837
OPM %,11%,12%,12%,14%,16%,17%,18%,18%,16%,14%,14%,14%,13%
Other Income +,37,11,7,7,40,22,13,3,38,-10,17,4,-91
Interest,128,118,132,142,139,135,133,123,115,107,120,111,109
Depreciation,375,344,349,354,372,362,360,368,388,370,376,376,377
Profit before tax,160,238,238,424,527,576,680,721,563,423,399,465,260
Tax %,29%,20%,25%,31%,22%,31%,30%,31%,37%,29%,25%,27%,29%
Net Profit +,113,191,179,292,410,397,474,497,354,302,297,337,185
EPS in Rs,1.79,3.00,2.82,4.60,6.46,6.25,7.47,7.82,5.58,4.76,4.68,5.31,2.91
Raw PDF,,,,,,,,,,,,,
