,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,231","1,408","1,228","1,482","1,328","1,684","1,313","1,775","1,524","1,975","1,386","1,885","1,719"
Expenses +,"1,142","1,311","1,152","1,409","1,237","1,554","1,217","1,659","1,417","1,821","1,302","1,786","1,605"
Operating Profit,89,97,75,73,91,130,97,115,108,154,84,99,114
OPM %,7%,7%,6%,5%,7%,8%,7%,6%,7%,8%,6%,5%,7%
Other Income +,1,2,1,3,5,2,2,2,3,2,2,2,2
Interest,23,24,23,25,27,27,23,29,28,29,22,30,36
Depreciation,19,20,21,22,23,25,25,26,29,30,31,30,35
Profit before tax,48,55,32,30,46,81,50,62,53,97,33,42,44
Tax %,26%,26%,26%,26%,22%,25%,25%,26%,24%,25%,25%,24%,29%
Net Profit +,35,41,24,22,36,60,37,46,41,72,25,32,31
EPS in Rs,1.18,1.36,0.80,0.57,0.94,1.57,0.97,1.19,1.05,1.88,0.64,0.82,0.82
Raw PDF,,,,,,,,,,,,,
