,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,141.48","1,128.33","1,127.26","1,122.79","1,138.12",912.81,971.30,920.90,"1,001.62",977.30,990.73,"1,029.41","1,075.47"
Expenses +,792.10,777.77,968.61,885.22,936.39,881.80,954.80,940.88,997.72,923.37,944.59,951.19,974.28
Operating Profit,349.38,350.56,158.65,237.57,201.73,31.01,16.50,-19.98,3.90,53.93,46.14,78.22,101.19
OPM %,30.61%,31.07%,14.07%,21.16%,17.72%,3.40%,1.70%,-2.17%,0.39%,5.52%,4.66%,7.60%,9.41%
Other Income +,6.99,5.89,21.94,6.19,8.13,11.80,71.03,4.70,2.54,3.30,49.25,15.16,24.43
Interest,1.19,1.58,2.60,7.56,7.72,10.50,10.78,11.21,12.08,10.85,11.06,10.44,18.19
Depreciation,52.25,49.81,59.57,79.18,87.53,89.47,95.20,96.02,96.72,96.66,100.13,98.27,97.24
Profit before tax,302.93,305.06,118.42,157.02,114.61,-57.16,-18.45,-122.51,-102.36,-50.28,-15.80,-15.33,10.19
Tax %,27.15%,37.43%,48.88%,44.48%,38.02%,-0.00%,-0.43%,-6.03%,-54.87%,-11.44%,15.06%,-26.74%,13.44%
Net Profit +,220.68,190.87,60.54,87.17,71.04,-57.16,-18.37,-115.12,-46.19,-44.53,-18.18,-11.23,8.82
EPS in Rs,30.05,25.99,8.24,11.87,9.67,-7.78,-2.50,-15.68,-6.29,-6.06,-2.48,-1.53,1.20
Raw PDF,,,,,,,,,,,,,
