,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,212,328,298,329,355,427,348,343,349,312,293,300,358
Expenses +,178,284,283,322,321,397,328,323,313,289,266,278,316
Operating Profit,34,43,15,7,34,29,20,20,36,23,27,22,42
OPM %,16%,13%,5%,2%,10%,7%,6%,6%,10%,7%,9%,7%,12%
Other Income +,0,-0,0,0,1,-0,1,10,0,-0,-46,13,1
Interest,4,4,4,3,4,5,5,5,5,5,4,5,4
Depreciation,3,3,3,3,3,4,4,3,4,4,4,4,4
Profit before tax,27,36,8,2,28,20,12,22,27,14,-28,27,35
Tax %,21%,21%,35%,189%,21%,30%,40%,13%,23%,41%,-18%,18%,26%
Net Profit +,21,28,5,-1,22,14,7,19,21,9,-23,22,26
EPS in Rs,14.29,18.90,3.45,-0.92,14.59,9.46,4.66,12.44,13.60,5.68,-15.22,14.58,17.10
Raw PDF,,,,,,,,,,,,,
