,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,896,851,860,717,730,894,961,704,877,"1,053","1,202","1,023","1,229"
Expenses +,856,784,808,644,667,811,883,639,796,954,"1,105",931,"1,112"
Operating Profit,40,67,52,73,63,83,77,65,81,98,97,91,117
OPM %,4%,8%,6%,10%,9%,9%,8%,9%,9%,9%,8%,9%,10%
Other Income +,18,4,7,1,23,7,7,3,14,15,9,6,8
Interest,13,16,16,18,16,20,24,17,22,23,25,24,27
Depreciation,13,12,12,13,14,14,16,16,19,17,18,19,21
Profit before tax,32,44,32,44,56,58,46,35,54,73,63,54,78
Tax %,11%,16%,19%,16%,5%,18%,14%,2%,10%,15%,11%,10%,16%
Net Profit +,28,36,26,37,53,47,39,34,49,62,56,48,65
EPS in Rs,6.26,8.42,5.34,7.71,11.99,11.10,9.16,8.20,11.78,14.99,12.75,12.25,14.86
Raw PDF,,,,,,,,,,,,,
